"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.111.196.144","10.111.196.155","DNS","121","Standard query response 0x73a1 A c.pki.goog CNAME pki-goog.l.google.com A 142.250.67.3"
"2","0.000000","10.111.196.144","10.111.196.155","DNS","133","Standard query response 0x73c0 AAAA c.pki.goog CNAME pki-goog.l.google.com AAAA 2404:6800:4009:806::2003"
"3","0.000941","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2404:6800:4009:806::2003","TCP","86","61099  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"4","0.010344","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2603:1063:1f:103::365:7ea3","TCP","74","54026  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=0"
"5","0.010344","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::1726:3bfa","TCP","74","60306  >  80 [ACK] Seq=1 Ack=1 Win=253 Len=0"
"6","0.024577","2404:6800:4009:806::2003","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","86","80  >  61099 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 SACK_PERM WS=256"
"7","0.024712","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2404:6800:4009:806::2003","TCP","74","61099  >  80 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"8","0.024993","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2404:6800:4009:806::2003","HTTP","276","GET /r/gsr1.crl HTTP/1.1 "
"9","0.050852","2603:1063:1f:103::365:7ea3","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","957","Application Data"
"10","0.053556","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2603:1063:1f:103::365:7ea3","TCP","74","54026  >  443 [FIN, ACK] Seq=1 Ack=884 Win=255 Len=0"
"11","0.059793","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","74","443  >  61098 [ACK] Seq=1 Ack=1 Win=16384 Len=0"
"12","0.059793","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","533","Application Data"
"13","0.059793","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","136","Application Data"
"14","0.059793","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","74","443  >  61098 [ACK] Seq=522 Ack=93 Win=16384 Len=0"
"15","0.059793","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","105","Application Data"
